Population,Marker,Allele,Frequency
Europe,TPOX,8,0.515902
Europe,D20S482,14,0.429571
Europe,D17S1301,12,0.416584
Europe,D9S1122,12,0.398204
Europe,D22S1045,16,0.375743
Europe,D10S1435,12,0.373374
Europe,D14S1434,14,0.373254
Europe,D5S818,12,0.355863
Europe,D19S433,14,0.352879
Europe,D4S2366,9,0.347
Europe,D5S2800,17,0.344345
Europe,D19S253,12,0.343344
Europe,CSF1PO,12,0.332004
Europe,D13S317,11,0.326692
Europe,D2S441,14,0.32604
Europe,D8S1179,13,0.320079
Europe,TH01,9.3,0.313121
Europe,D18S1364,15,0.301
Europe,D16S539,12,0.299205
Europe,D3S1744,17,0.295409
Europe,D2S1360,22,0.293
Europe,D10S1248,13,0.292829
Europe,D6S474,17,0.282
Europe,D5S2500,11,0.271
Europe,D7S820,10,0.268388
Europe,D3S1358,15,0.267396
Europe,vWA,17,0.265935
Europe,D21S11,30,0.261785
Europe,D21S2055,19.1,0.258225
Europe,D13S325,20,0.247753
Europe,D11S2368,20,0.245
Europe,D2S1338,17,0.240552
Europe,D15S659,13,0.216784
Europe,D7S1517,25,0.210421
Europe,Penta D,12,0.208
Europe,D22GATA198B05,21,0.2008
Europe,D8S1132,18,0.196197
Europe,FGA,22,0.19422
Europe,D12S391,18,0.183267
Europe,D10S2325,11,0.182183
Europe,D7S3048,23,0.178822
Europe,D18S51,14,0.17793
Europe,Penta E,12,0.154
Europe,D1S1656,15,0.140437
Europe,SE33,18,0.09328
